model,setting,seed,best_val_balanced_acc,best_val_f1_weighted,best_val_f1_macro,lambda_history
resnet50_supervised,frozen_backbone,0,0.2,0.27833984143888296,0.12396166134185302,
resnet50_supervised,frozen_backbone,1,0.2,0.27833984143888296,0.12396166134185302,
resnet50_supervised,frozen_backbone,2,0.2068870363564857,0.30242950688602865,0.14950562480997262,
resnet50_supervised,full_finetune_no_acr,0,0.20487804878048782,0.288270757020757,0.1338827838827839,
resnet50_supervised,full_finetune_no_acr,1,0.2,0.27833984143888296,0.12396166134185302,
resnet50_supervised,full_finetune_no_acr,2,0.22840435065730516,0.33666051344510634,0.1798047462271871,
resnet50_supervised,full_finetune_fixed_lambda,0,0.2,0.27833984143888296,0.12396166134185302,
resnet50_supervised,full_finetune_fixed_lambda,1,0.2,0.27833984143888296,0.12396166134185302,
resnet50_supervised,full_finetune_fixed_lambda,2,0.2,0.27833984143888296,0.12396166134185302,
resnet50_supervised,full_finetune_adaptive_acr,0,0.20487804878048782,0.288270757020757,0.1338827838827839,
resnet50_supervised,full_finetune_adaptive_acr,1,0.2,0.27833984143888296,0.12396166134185302,
resnet50_supervised,full_finetune_adaptive_acr,2,0.22509171324861543,0.3341528640441684,0.18395978741115454,
dinov2,frozen_backbone,0,0.2985377458849926,0.4227248937216257,0.283113618407736,
dinov2,frozen_backbone,1,0.29552813291812535,0.4358513255683406,0.2781525468043132,
dinov2,frozen_backbone,2,0.29890330941374443,0.43739954151352056,0.2751380607445265,
dinov2,full_finetune_no_acr,0,0.3111081023577881,0.43437372513946526,0.2876264044239668,
dinov2,full_finetune_no_acr,1,0.29421868048973904,0.4294261294261294,0.27990231990231995,
dinov2,full_finetune_no_acr,2,0.28633295294094896,0.4269546244423696,0.2690896358543417,
dinov2,full_finetune_fixed_lambda,0,0.3029154819700457,0.43152323789530356,0.2800560503494637,
dinov2,full_finetune_fixed_lambda,1,0.29834239182994526,0.4388355354538929,0.2823322475496388,
dinov2,full_finetune_fixed_lambda,2,0.2893973682004861,0.428290666304768,0.2656246946480124,
dinov2,full_finetune_adaptive_acr,0,0.3090443124891201,0.4268975655948501,0.2862330564922817,
dinov2,full_finetune_adaptive_acr,1,0.30603663372081774,0.4467367962333998,0.29158984311822733,
dinov2,full_finetune_adaptive_acr,2,0.28889705550505146,0.42894342838162486,0.26515241269757067,
mae,frozen_backbone,0,0.2,0.27833984143888296,0.12396166134185302,
mae,frozen_backbone,1,0.2,0.27833984143888296,0.12396166134185302,
mae,frozen_backbone,2,0.23346550356859633,0.2810450751112449,0.1584914182475158,
mae,full_finetune_no_acr,0,0.2,0.27833984143888296,0.12396166134185302,
mae,full_finetune_no_acr,1,0.2,0.05522875816993464,0.0611764705882353,
mae,full_finetune_no_acr,2,0.23758921490880253,0.28551940978411566,0.16160427807486633,
mae,full_finetune_fixed_lambda,0,0.2,0.27833984143888296,0.12396166134185302,
mae,full_finetune_fixed_lambda,1,0.2,0.27833984143888296,0.12396166134185302,
mae,full_finetune_fixed_lambda,2,0.24885011895321174,0.28778638911659254,0.16534764140397945,
mae,full_finetune_adaptive_acr,0,0.2,0.27833984143888296,0.12396166134185302,
mae,full_finetune_adaptive_acr,1,0.2,0.05522875816993464,0.0611764705882353,
mae,full_finetune_adaptive_acr,2,0.2396510705789056,0.28960190136660724,0.16342245989304813,
